Philosophe	Naissance	Mort	Catégorie	Image	Page Wikipedia	Extrait Wikipédia
Jacques Maritain	1882	1973	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/6/6f/Maritain_Jacques.jpg	https://fr.wikipedia.org/wiki/Jacques_Maritain	<p><b>Jacques Maritain</b>, né le <time datetime=""1882-11-18"" data-sort-value=""1882-11-18"">18 novembre 1882</time> à Paris et mort le <time datetime=""1973-04-28"" data-sort-value=""1973-04-28"">28 avril 1973</time> à Toulouse, est un philosophe et théologien catholique français. Il est une figure centrale du thomisme au <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle. </p><p>Agnostique élevé dans le protestantisme, Jacques Maritain se convertit à la foi catholique en 1906 et cette religion a profondément imprégné sa philosophie. Après une phase anti-moderniste, où il était proche de l'Action française, sans jamais y adhérer, il s'en éloigna et finit par accepter la démocratie et la laïcité (<i>Humanisme intégral</i>, 1936). Son œuvre fut liée de près à l'éclosion de la démocratie chrétienne, malgré les réserves de Maritain lui-même à propos de son organisation concrète. La connaissance de l'œuvre de Jacques Maritain a été profondément renouvelée par la publication en 2021 de sa biographie par Michel Fourcade, ainsi que par l'édition intégrale de sa correspondance avec Emmanuel Mounier, Paul Claudel, François Mauriac, Gabriel Marcel, Georges Bernanos, Yves Simon, Louis Massignon, Henri de Lubac, Edith Stein et Emily Coleman. </p><p>Il fut ambassadeur de France au Vatican de 1945 à 1948. Il avait épousé Raïssa Oumançoff, poète et philosophe juive convertie au catholicisme, autrice des <i>Grandes Amitiés</i>. Les œuvres complètes de Maritain sont co-signées avec Raïssa. </p><p>La philosophie de Maritain embrasse de larges champs de la pensée : cognition, morale, métaphysique, arts et politique. </p>
Moritz Schlick	1882	1936	Empirisme logique	https://upload.wikimedia.org/wikipedia/commons/1/17/Schlick_sitting.jpg	https://fr.wikipedia.org/wiki/Moritz_Schlick	<p><b>Moritz Schlick</b> , né le <time datetime=""1882-04-14"" data-sort-value=""1882-04-14"">14 avril 1882</time> à Berlin, en Allemagne, et mort le <time datetime=""1936-06-22"" data-sort-value=""1936-06-22"">22 juin 1936</time> à Vienne, en Autriche, est un philosophe allemand. </p><p>Physicien de formation (il étudie la physique sous la direction de Max Planck), il est l’un des fondateurs du positivisme logique, qualifié de <span>« maître à penser du Cercle de Vienne »</span>, il est l’un des premiers philosophes « analytiques ». </p><p>Il meurt à Vienne le <time datetime=""1936-06-22"" data-sort-value=""1936-06-22"">22 juin 1936</time> assassiné par un de ses anciens étudiants <span>« de plusieurs coups de pistolet sur les marches de l’Université de Vienne »</span>. </p>
Otto Neurath	1882	1945	Empirisme logique	https://upload.wikimedia.org/wikipedia/commons/9/9e/Otto_Neurath.jpg	https://fr.wikipedia.org/wiki/Otto_Neurath	<p><b>Otto Neurath</b> (<time datetime=""1882-12-10"" data-sort-value=""1882-12-10"">10 décembre 1882</time> - <time datetime=""1945-12-22"" data-sort-value=""1945-12-22"">22 décembre 1945</time>) est un philosophe, sociologue et économiste autrichien. Il fut un des rédacteurs en 1929 du texte « La Conception scientifique du monde » plus connu sous le nom de <i>Manifeste du Cercle de Vienne</i>. </p> 
Karl Jaspers	1883	1969	Philosophie XXe	https://upload.wikimedia.org/wikipedia/commons/1/1e/Karl_Jaspers_1946.jpg	https://fr.wikipedia.org/wiki/Karl_Jaspers	<p><b>Karl Jaspers</b>, né le <time datetime=""1883-02-23"" data-sort-value=""1883-02-23"">23 février 1883</time> à Oldenbourg et mort le <time datetime=""1969-02-26"" data-sort-value=""1969-02-26"">26 février 1969</time> à Bâle, est un psychiatre et philosophe germano-suisse représentatif de l'existentialisme. Ses travaux ont eu une grande influence sur la théologie, la psychologie, la psychiatrie et la philosophie. Il obtient la nationalité suisse en 1967. </p> 
Bachelard	1884	1962	Épistémologues français		https://fr.wikipedia.org/wiki/Bachelard	 
Ernst Bloch	1885	1977	École de Francfort	https://upload.wikimedia.org/wikipedia/commons/c/c7/Bundesarchiv_Bild_183-27348-0008%2C_Berlin%2C_Ernst_Bloch_auf_Begegnung_der_Geistesschaffenden.jpg	https://fr.wikipedia.org/wiki/Ernst_Bloch	<p><b>Ernst Bloch</b>, né le 8 juillet 1885 à Ludwigshafen et mort le 4 août 1977 à Tübingen, est un philosophe juif allemand qui s'inscrit dans la lignée des marxistes « non-orthodoxes » tels Georg Lukács (durant les années 1920), Antonio Gramsci, Karl Korsch ou encore les penseurs de l'École de Francfort. </p>
György Lukács	1885	1971	Philosophie sociale et politique XXe		https://fr.wikipedia.org/wiki/Gy%C3%B6rgy_Luk%C3%A1cs	 
Carl Schmitt	1888	1985	Philosophie sociale et politique XXe	https://upload.wikimedia.org/wikipedia/commons/1/11/Grabstein_Carl_Schmitts.jpeg	https://fr.wikipedia.org/wiki/Carl_Schmitt	<p><b>Carl Schmitt</b>, né le <time datetime=""1888-07-11"" data-sort-value=""1888-07-11"">11 juillet 1888</time> et mort le <time datetime=""1985-04-07"" data-sort-value=""1985-04-07"">7 avril 1985</time> à Plettenberg, est un juriste (constitutionnaliste, théoricien et professeur de droit) et philosophe allemand, de confession catholique. Il s'engage dans le parti nazi dès 1933 puis en est écarté en 1936. Il est considéré par certains auteurs comme le juriste officiel du <abbr title=""Troisième"">III<sup>e</sup></abbr> Reich lors de cette période, du fait des rapprochements que l'on peut faire entre sa doctrine juridique du décisionnisme et l'évolution institutionnelle de l'Allemagne sous le régime nazi. </p><p>Ses principales œuvres sont : <i>Théologie politique</i> (1922), <i>La notion du politique</i> (1932), <i>Théorie de la Constitution</i> (1928), <i>Le Léviathan dans la doctrine de l’État de Thomas Hobbes</i> (1938), <i>Le Nomos de la Terre</i> (1950), <i>Théorie du partisan</i> (1963). </p><p>Auteur d'une réflexion sur la nature de l'État et des constitutions, il considère, dans la filiation de la pensée de Jean Bodin, que la souveraineté étatique est absolue ou n'est pas. L'autonomie étatique, selon Schmitt, repose sur la possibilité de l'État de s'autoconserver, en dehors même de la norme juridique, par une action qui prouvera cette souveraineté, c'est le décisionnisme. </p><p>Les controverses liées à sa pensée sont étroitement liées à sa vision absolutiste de la puissance étatique et à son antilibéralisme, contrebalancés par ses engagements envers le national-libéralisme, voire le libéral-conservatisme<sup>,</sup>. </p> 
Gabriel Marcel	1889	1973	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/4/49/Gabriel_Marcel_en_1969.jpg	https://fr.wikipedia.org/wiki/Gabriel_Marcel	<p><b>Gabriel Honoré Marcel</b>, né le <time datetime=""1889-12-07"" data-sort-value=""1889-12-07"">7 décembre 1889</time> à Paris 8<sup>e</sup> et mort le <time datetime=""1973-10-08"" data-sort-value=""1973-10-08"">8 octobre 1973</time> dans le <abbr title=""Septième"">7<sup>e</sup></abbr> arrondissement de Paris, est un philosophe, dramaturge, critique littéraire et musicien français, représentatif de l'existentialisme chrétien. </p> 
Heidegger	1889	1976	Philosophie XXe		https://fr.wikipedia.org/wiki/Heidegger	
Wittgenstein	1889	1951	Philosophie analytique		https://fr.wikipedia.org/wiki/Wittgenstein	 
Antonio Gramsci	1891	1937	Philosophie sociale et politique XXe	https://upload.wikimedia.org/wikipedia/commons/e/e6/Gramsci.png	https://fr.wikipedia.org/wiki/Antonio_Gramsci	<p><b>Antonio Gramsci</b> , né le <time datetime=""1891-01-22"" data-sort-value=""1891-01-22"">22 janvier 1891</time> à Ales (Sardaigne) et mort le <time datetime=""1937-04-27"" data-sort-value=""1937-04-27"">27 avril 1937</time> à Rome, est un philosophe, écrivain et théoricien politique italien. </p><p>Membre fondateur du Parti communiste italien, dont il est un temps à la tête, il est emprisonné par le régime mussolinien de 1926 à sa mort. En tant qu'intellectuel marxiste, il a notamment développé une théorie de l'hégémonie culturelle. Ses travaux, menés principalement pendant ses onze années d'emprisonnement, portent aussi sur l'histoire de l'Italie, le nationalisme, les partis politiques, la littérature (notamment l'œuvre de Machiavel), l'époque de la Renaissance et de la Réforme, ou encore le matérialisme historique. </p>
Rudolf Carnap	1891	1970	Empirisme logique		https://fr.wikipedia.org/wiki/Rudolf_Carnap	<p><b>Rudolf Carnap</b> (en allemand : <span>[ˈkaʁnaːp]</span>), né le <time datetime=""1891-05-18"" data-sort-value=""1891-05-18"">18 mai 1891</time> à Ronsdorf et mort le <time datetime=""1970-09-14"" data-sort-value=""1970-09-14"">14 septembre 1970</time> à Santa Monica, est un philosophe allemand naturalisé américain en 1941. Il est membre du Cercle de Vienne et le plus célèbre représentant du positivisme logique. </p>
Erwin Straus	1891	1975	Philosophie XXe	https://upload.wikimedia.org/wikipedia/commons/5/51/Erwin_Stresemann_1919.jpg	https://fr.wikipedia.org/wiki/Erwin_Stresemann	<p><b>Erwin Stresemann</b> est un ornithologue et un historien des sciences allemand, né le <time datetime=""1889-11-22"" data-sort-value=""1889-11-22"">22 novembre 1889</time> et mort le <time datetime=""1972-11-20"" data-sort-value=""1972-11-20"">20 novembre 1972</time>. </p>
Hans Reichenbach	1891	1953	Empirisme logique	https://upload.wikimedia.org/wikipedia/commons/6/66/H_Reichenbach.jpg	https://fr.wikipedia.org/wiki/Hans_Reichenbach	<p><b>Hans Reichenbach</b>, né le <time datetime=""1891-09-26"" data-sort-value=""1891-09-26"">26 septembre 1891</time> à Hambourg et mort le <time datetime=""1953-04-09"" data-sort-value=""1953-04-09"">9 avril 1953</time> à Los Angeles, est un philosophe des sciences allemand, partisan du positivisme logique. </p>
Alexandre Koyré	1892	1964	Épistémologues français		https://fr.wikipedia.org/wiki/Alexandre_Koyr%C3%A9	<p><b>Alexandre Koyré</b> est un philosophe et historien des sciences français d’origine russe, né Aleksandr Vladimirovitch Koïranskiï, en russe : <span lang=""ru"">Александр Владимирович Койранский</span> le <time datetime=""1892-08-29"" data-sort-value=""1892-08-29"">29 août 1892</time> à Taganrog (Empire russe), dans une famille de commerçants aisés d'origine juive, et mort le <time datetime=""1964-04-28"" data-sort-value=""1964-04-28"">28 avril 1964</time> à Paris <abbr title=""Cinquième"">5<sup>e</sup></abbr>. </p><p>Ses travaux d’épistémologie et d’histoire des sciences portent sur Galilée ainsi que sur la cosmologie aux <abbr title=""16ᵉ siècle""><span>XVI</span><sup style=""font-size:72%"">e</sup></abbr> et <abbr title=""17ᵉ siècle""><span>XVII</span><sup style=""font-size:72%"">e</sup></abbr> siècles. Il voit dans la naissance de la physique moderne au <abbr title=""17ᵉ siècle""><span>XVII</span><sup style=""font-size:72%"">e</sup></abbr> siècle une <span>« révolution scientifique »</span>. Cette expression est caractéristique de sa conception discontinue de l’histoire des sciences, qu’il partage avec Gaston Bachelard. Passer du <span>« monde clos »</span> de la cosmologie aristotélicienne à la théorie d’un <span>« univers infini »</span> de Descartes suppose ainsi une transformation radicale des bases métaphysiques sur lesquelles repose la physique. Il est en outre un des éditeurs des deux tomes des <i>Philosophiae Naturalis Principia Mathematica</i> d'Isaac Newton parus en 1971 et 1972 aux <i>Harvard University Press</i>. </p>
Walter Benjamin	1892	1940	École de Francfort	https://upload.wikimedia.org/wikipedia/commons/c/cc/Walter_Benjamin_vers_1928.jpg	https://fr.wikipedia.org/wiki/Walter_Benjamin	<p><b>Walter Benjamin</b> (<span title=""Alphabet phonétique international"">[<span title=""[ˈ] indique que la syllabe ou voyelle suivante porte l'accent tonique."">ˈ</span><span title=""[v] « v » dans « vous »."">v</span><span title=""[a] « a » dans « patte »."">a</span><span title=""[l] « l » dans « loup »."">l</span><span title=""[t] en français « t » dans « tous » ; ailleurs avec la langue un peu plus en arrière."">t</span>ɐ <span title=""[ˈ] indique que la syllabe ou voyelle suivante porte l'accent tonique."">ˈ</span><span title=""[b] « b » dans « beau »."">b</span><span title=""[ɛ] « è » dans « mère »."">ɛ</span><span title=""[n] en français « n » dans « nous » ; ailleurs avec la langue un peu plus en arrière."">n</span><span title=""[j] « y » dans « payer », « ill » dans « Versailles »."">j</span><span title=""[a] « a » dans « patte »."">a</span><span title=""[m] « m » dans « mou »."">m</span><span title=""[i] « i » dans « si »."">i</span><span title=""[ː] indique que le son précédent est allongé/géminé."">ː</span><span title=""[n] en français « n » dans « nous » ; ailleurs avec la langue un peu plus en arrière."">n</span>]</span>) (nom complet : Walter Bendix Schönflies Benjamin) est un philosophe, historien de l'art, critique littéraire, critique d'art et traducteur allemand né le <time datetime=""1892-07-15"" data-sort-value=""1892-07-15"">15 juillet 1892</time> à Berlin (Allemagne) et mort le <time datetime=""1940-09-26"" data-sort-value=""1940-09-26"">26 septembre 1940</time> à Portbou (Espagne). </p><p>Il est rattaché à l'école de Francfort. Il a notamment traduit Balzac, Baudelaire et Proust, et est l'auteur d'une œuvre hétéroclite aux confluents de la littérature, de la philosophie et des sciences sociales. Son suicide a laissé son œuvre dans l'inachèvement avec seulement deux livres publiés de son vivant, des articles et de nombreuses notes en vue de la publication d'une vaste enquête sur le Paris du <abbr title=""19ᵉ siècle""><span>XIX</span><sup style=""font-size:72%"">e</sup></abbr> siècle. </p><p>Sa pensée a été redécouverte, étudiée et commentée à partir des années 1950, avec la publication de nombreux textes inédits et de sa correspondance. Longtemps ignoré en dehors de cercles littéraires, il a peu à peu acquis une notoriété le plaçant parmi les théoriciens majeurs du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle. </p> 
Jean Nicod	1893	1924	Épistémologues français		https://fr.wikipedia.org/wiki/Jean_Nicod	<p><b>Jean George Pierre Nicod</b> (1893 - <time datetime=""1924-02-16"" data-sort-value=""1924-02-16"">16 février 1924</time>) était un philosophe, épistémologue et spécialiste de philosophie logique français. </p> 
Max Horkheimer	1895	1973	École de Francfort	https://upload.wikimedia.org/wikipedia/commons/c/c3/AdornoHorkheimerHabermasbyJeremyJShapiro2.png	https://fr.wikipedia.org/wiki/Max_Horkheimer	<p><b>Max Horkheimer</b> (né le <time datetime=""1895-02-14"" data-sort-value=""1895-02-14"">14 février 1895</time> et mort le <time datetime=""1973-07-07"" data-sort-value=""1973-07-07"">7 juillet 1973</time>) est un philosophe et un sociologue allemand, connu pour être le directeur de l'Institut de recherche sociale (<i>Institut für Sozialforschung</i>), à l'origine de la célèbre École de Francfort de 1930 à 1969, et un des fondateurs de la théorie critique (<i>Kritische Theorie</i>). </p> 
Friedrich Waismann	1896	1959	Empirisme logique		https://fr.wikipedia.org/wiki/Friedrich_Waismann	<p><b>Friedrich Waismann</b> (<time datetime=""1896-03-21"" data-sort-value=""1896-03-21"">21 mars 1896</time> - <time datetime=""1959-11-04"" data-sort-value=""1959-11-04"">4 novembre 1959</time>) est un mathématicien, physicien, et philosophe autrichien. Il est principalement connu comme membre du Cercle de Vienne et théoricien du positivisme logique. </p> 
Georges Bataille	1897	1962	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/7/7a/Georges_Bataille_vers_1943.jpg	https://fr.wikipedia.org/wiki/Georges_Bataille	<p><b>Georges Albert Maurice Victor Bataille</b>, né le <time datetime=""1897-09-10"" data-sort-value=""1897-09-10"">10 septembre 1897</time> à Billom (Puy-de-Dôme) et mort le <time datetime=""1962-07-09"" data-sort-value=""1962-07-09"">9 juillet 1962</time> à Paris, est un écrivain, philosophe, romancier, poète, essayiste et bibliothécaire français. </p><p>Son œuvre se compose d'ouvrages de littérature, mais aussi d'anthropologie, de philosophie, d'économie, de sociologie et d'histoire de l'art. Il ne considère jamais l'écriture comme une fin en soi, mais comme un moyen lui permettant, à travers ses récits, romans, essais philosophiques et revues, de témoigner de ses différentes expériences et fascinations : « Il faut vouloir vivre les grands problèmes, par le corps et par l’esprit. » Ainsi, sa vie et son œuvre se confondent, mêlant mysticisme et érotisme. </p><p>À la croisée des savoirs et des grands débats idéologiques, philosophiques et anthropologiques, de son temps, son œuvre est à la fois littéraire et philosophique, multiple, hétérogène, marginale et échappe aux étiquetages : <span>« les catégories traditionnelles, les délimitations qu'elles établissent, se révèlent inappropriées ou encombrantes dès lors qu'on veut rendre compte de l'ensemble de ses écrits »</span>. D'autant plus qu'il s'est évertué à brouiller les pistes, ainsi qu'il le déclare lui-même dans son dernier entretien, accordé à Madeleine Chapsal en <time datetime=""1961-03"" data-sort-value=""1961-03"">mars 1961</time> : « Je dirais volontiers que ce dont je suis le plus fier, c'est d'avoir brouillé les cartes [...], c'est-à-dire d'avoir associé la façon de rire la plus turbulente et la plus choquante, la plus scandaleuse, avec l'esprit religieux le plus profond ». Ce « brouillage » est d'autant plus manifeste en raison des multiples versions, manuscrits et dactylogrammes de ses textes, et aussi parce qu'il a souvent usé de pseudonymes pour signer certains écrits (récits érotiques) : Troppmann, Lord Auch, Pierre Angélique, Louis Trente et Dianus. </p>
Herbert Marcuse	1898	1979	École de Francfort	https://upload.wikimedia.org/wikipedia/commons/6/69/Herbert_Marcuse_in_Newton%2C_Massachusetts_1955.jpeg	https://fr.wikipedia.org/wiki/Herbert_Marcuse	<p><b>Herbert Marcuse</b>, né le <time datetime=""1898-07-19"" data-sort-value=""1898-07-19"">19 juillet 1898</time> à Berlin et mort le <time datetime=""1979-07-29"" data-sort-value=""1979-07-29"">29 juillet 1979</time> à Starnberg (Bavière), est un philosophe, sociologue marxiste, américain d'origine allemande, membre de l'École de Francfort avec Theodor Adorno et Max Horkheimer. </p>
Robert Blanché	1898	1975	Épistémologues français		https://fr.wikipedia.org/wiki/Robert_Blanch%C3%A9	<p><b>Robert Blanché</b> (1898-1975) est un philosophe et logicien français. </p>
Hayek	1899	1992	Philosophie sociale et politique XXe		https://fr.wikipedia.org/wiki/Hayek	<p><b>Hayek</b> est un nom de famille notamment porté par : </p> <ul><li>August von Hayek (1871-1928), botaniste autrichien ;</li> <li>Friedrich Hayek (1899-1992), économiste de l'École autrichienne ;</li> <li>Lynn El Hayek, chanteuse libanaise ;</li> <li>Nicolas G. Hayek (1928-2010), entrepreneur suisse-libanais, président du Swatch Group; <ul><li>Nayla Hayek (1951-), fille de Nicolas, femme entrepreneure à la tête du conseil d’administration de Swatch Group, juge arbitre internationale en équitation, engagée dans Hayek Engineering ;</li> <li>G. Nicolas Hayek (alias Nick) (1955-), directeur du Swatch Group, fils de Nicolas G ; <ul><li>Marc Alexander Hayek (1971-), directeur de Blancpain, membre de la direction générale du Swatch Group, fils de Nayla, petit-fils de Nicolas G ;</li></ul></li></ul></li> <li>Salma Hayek (1966-), actrice mexicaine et libanaise.</li></ul>
Leo Strauss	1899	1973	Philosophie sociale et politique XXe	https://upload.wikimedia.org/wikipedia/commons/7/73/Leo_Strauss_USA_1939.jpg	https://fr.wikipedia.org/wiki/Leo_Strauss	<p><b>Leo Strauss</b> (Kirchhain, province de Hesse-Nassau, <time datetime=""1899-09-20"" data-sort-value=""1899-09-20"">20 septembre 1899</time> – Annapolis, dans le Maryland, <time datetime=""1973-10-18"" data-sort-value=""1973-10-18"">18 octobre 1973</time>) est un philosophe et historien de la philosophie juif allemand du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle, émigré aux Etats-Unis à partir de 1937. </p><p>Spécialiste de philosophie politique, il est surtout connu pour ses thèses sur l'art d'écrire des philosophes et pour avoir étudié la tradition philosophique classique et les idées classiques et modernes du droit naturel, s'opposant ouvertement aux sciences sociales contemporaines. Il a aussi étudié l'histoire de la philosophie juive, en particulier dans sa période médiévale. </p> 
Erich Fromm	1900	1980	École de Francfort	https://upload.wikimedia.org/wikipedia/commons/e/e4/Erich_Fromm_1974_%28cropped%292.jpg	https://fr.wikipedia.org/wiki/Erich_Fromm	<p><b>Erich Fromm</b>, né à Francfort le <time datetime=""1900-03-23"" data-sort-value=""1900-03-23"">23 mars 1900</time> et mort à Muralto le <time datetime=""1980-03-18"" data-sort-value=""1980-03-18"">18 mars 1980</time>, est un sociologue et psychanalyste américain d'origine allemande. </p><p>Il est avec Theodor Adorno, Herbert Marcuse et d'autres, un des premiers représentants de l'École de Francfort. Il a greffé, d'une façon critique et originale qui lui est propre, la thèse freudienne sur la réalité sociale qui s'est fait jour dans l'après-guerre. </p><p>Par ailleurs, Erich Fromm fut l'un des premiers penseurs du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle à parler de l'idée d'un revenu de base inconditionnel. </p> 
Gilbert Ryle	1900	1976	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/5/5d/Rex_Whistler_-_Gilbert_Ryle%2C_Fellow.jpg	https://fr.wikipedia.org/wiki/Gilbert_Ryle	<p><b>Gilbert Ryle</b> (né le <time datetime=""1900-08-19"" data-sort-value=""1900-08-19"">19 août 1900</time> – mort le <time datetime=""1976-10-06"" data-sort-value=""1976-10-06"">6 octobre 1976</time>), est un philosophe anglais né à Brighton. Il est l'un des plus grands représentants de l'école philosophique d'Oxford. Il est surtout connu pour son œuvre majeure, <i>The Concept of Mind</i> publiée en 1949 et tenue pour l'une des œuvres les plus importantes de la philosophie du langage ordinaire. </p><p>Ryle a subi très tôt l'influence du <i>Tractatus</i> de Wittgenstein et il se situe dans la même inspiration que son auteur. Son intérêt pour l'histoire de la philosophie et la dimension de son projet philosophique le distinguent de la plupart de ses collègues de « l'école d'Oxford ». </p>
Hans-Georg Gadamer	1900	2002	Herméneutique	https://upload.wikimedia.org/wikipedia/commons/9/9f/Hans-Georg_Gadamer.jpg	https://fr.wikipedia.org/wiki/Hans-Georg_Gadamer	<p><b>Hans-Georg Gadamer</b> (né à Marbourg le <time datetime=""1900-02-11"" data-sort-value=""1900-02-11"">11 février 1900</time> et mort à Heidelberg le <time datetime=""2002-03-13"" data-sort-value=""2002-03-13"">13 mars 2002</time>) est un philosophe allemand. </p>
Alfred Tarski	1901	1983	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/1/1d/Alfred_Tarski.jpeg	https://fr.wikipedia.org/wiki/Alfred_Tarski	<p><b>Alfred Tarski</b>, né Alfred Teitelbaum le <time datetime=""1901-01-14"" data-sort-value=""1901-01-14"">14 janvier 1901</time> à Varsovie et mort le <time datetime=""1983-10-26"" data-sort-value=""1983-10-26"">26 octobre 1983</time> à Berkeley en Californie, est un logicien et un philosophe polonais, un des maîtres de l'école polonaise de logique et l'un des mathématiciens logiciens les plus éminents du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle, fondateur de la théorie des modèles et de la sémantique formelle. </p>
Ernest Nagel	1901	1985	Philosophie analytique		https://fr.wikipedia.org/wiki/Ernest_Nagel	<p><b>Ernest Nagel</b> (né le <time datetime=""1901-11-16"" data-sort-value=""1901-11-16"">16 novembre 1901</time> à Nové Mesto nad Váhom en royaume de Hongrie et mort le <time datetime=""1985-09-20"" data-sort-value=""1985-09-20"">20 septembre 1985</time> à New York, États-Unis) est un philosophe des sciences, spécialiste de physique. Il fait partie de ce qu'il est convenu d'appeler le positivisme logique. </p>
Karl Popper	1902	1994	Épistémologie	https://upload.wikimedia.org/wikipedia/commons/4/43/Karl_Popper.jpg	https://fr.wikipedia.org/wiki/Karl_Popper	<p><b>Karl Raimund Popper</b>, né le <time datetime=""1902-07-28"" data-sort-value=""1902-07-28"">28 juillet 1902</time> à Vienne, en Autriche, et mort le <time datetime=""1994-09-17"" data-sort-value=""1994-09-17"">17 septembre 1994</time> à Londres (Croydon), au Royaume-Uni, est un enseignant et philosophe des sciences du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle. C'est un penseur anticonformiste qui, dans toutes ses œuvres, a invité à la réflexion, au dialogue et à la confrontation des idées. Il est célèbre pour ses positions épistémologiques, mais il a su porter un regard nouveau en politique et dans les sciences sociales. Il a collaboré à de hautes discussions avec les plus grands scientifiques de son époque. Sa notoriété s'est établie en élaborant un critère de démarcation entre les sciences expérimentales et les autres savoirs. Il a mis l'accent sur l'idée de réfutabilité par l'expérimentation pour caractériser le savoir scientifique. Il a aussi défini l'ouverture à la critique comme un critère adéquat pour désigner le savoir rationnel en général. Il définit ainsi les théories métaphysiques comme des systèmes irréfutables par l'expérimentation mais il admet la possibilité d'en étudier la pertinence et de les confronter entre elles. Professeur à la London School of Economics, il souligne la nécessité de fonder les recherches scientifiques sur des « programmes de recherche métaphysique » et inscrit son travail de recherche dans le cadre de l'épistémologie évolutionniste. </p> 
Raymond Ruyer	1902	1987	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/d/d8/Raymond_Ruyer_1973.jpg	https://fr.wikipedia.org/wiki/Raymond_Ruyer	<p><b>Raymond Ruyer</b> (Plainfaing dans les Vosges, <time datetime=""1902-01-13"" data-sort-value=""1902-01-13"">13 janvier 1902</time> - Nancy, <time datetime=""1987-06-22"" data-sort-value=""1987-06-22"">22 juin 1987</time>) est un philosophe français du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle. Formé à l'École normale supérieure de la rue d'Ulm, ce montagnard vosgien, tôt orphelin de père, est devenu, à son retour de guerre et de captivité, professeur de philosophie à l'université de Nancy. Son œuvre traite des sciences : la physique quantique, la biologie, la psychologie et la cybernétique principalement, à partir desquelles il édifie un système de métaphysique finaliste qu'il retravaille tout au long de sa vie. Ruyer s'est également intéressé à la gnose et aux phénomènes <span>« métapsychiques »</span>. </p>
Frank P. Ramsey	1903	1930	Philosophie analytique		https://fr.wikipedia.org/wiki/Frank_P._Ramsey	 
